Symbol	Name	Activities	Industry	Summary
0020.HK	Wheelock and Co. Ltd.	Investment property, development property, hotels, logistics and communications, media and entertainment.	Properties \& Construction - Properties - Property Development (HSIC*)	Wheelock and Company Limited, through its subsidiaries, engages in property investment, property development, and property management in Hong Kong and Singapore.
0021.HK	Great China Properties Holdings Ltd.	Property development and investment, investment holding and security investment.	Properties \& Construction - Properties - Property Investment (HSIC*)	Great China Properties Holdings Limited, an investment holding company, engages in property development and investment in the Peoples Republic of China.
0022.HK	Mexan Ltd.	Hotel operation.	Consumer Services - Hotels, Casinos, Restaurants \& Leisure Facilities - Hotels \& Resorts (HSIC*)	Mexan Limited, an investment holding company, operates a Mexan Harbour hotel in Hong Kong. It also holds properties and provides money lending services.
0023.HK	Bank of East Asia, Ltd., The	Provision of banking and related financial services, and business, corporate and investor services.	Financials - Banks - Banks (HSIC*)	The Bank of East Asia, Limited provides various banking and related financial services. It operates through nine segments: Personal Banking, Corporate Banking, Treasury Markets, Wealth Management, Financial Institutions, Others, China Operations, .
0024.HK	Burwill Holdings Ltd.	Trading of steel, processing of steel, mineral resources and commercial property.	Materials - Diversified Metals \& Minerals - Iron \& Steel (HSIC*)	Burwill Holdings Limited, an investment holding company, engages in the steel trading and processing businesses. Its International Steel Trading business is involved in the trading of iron ore fines and pellets, nickel ores, chrome ores, manganese.
0025.HK	Chevalier International Holdings Ltd.	Construction and engineering, insurance and investment, property, food and beverage. computer and information communication technology and others.	Properties \& Construction - Construction - Building Construction (HSIC*)	Chevalier International Holdings Limited, an investment holding company, engages in construction and engineering, insurance and investment, property, and food and beverage businesses.
0026.HK	China Motor Bus Co., Ltd.	Properties development and investment.	Properties \& Construction - Properties - Property Development (HSIC*)	China Motor Bus Company, Limited, together with its subsidiaries, engages in property development and investment activities. The company is involved in the development, construction, sale, and marketing of the groups trading properties prima.
0027.HK	Galaxy Entertainment Group Ltd.	Operation in casino games of chance or games of other forms, provision of hospitality and related services, and the manufacture, sale and distribution of construction materials.	Consumer Services - Hotels, Casinos, Restaurants \& Leisure Facilities - Casinos \& Gaming (HSIC*)	Galaxy Entertainment Group Limited, an investment holding company, develops and operates hotels, gaming, and integrated entertainment facilities in the Macau.
0028.HK	Tian An China Investments Co. Ltd.	Property development and investment, golf course operation, provision of hotel and property management and investment holding.	Properties \& Construction - Properties - Property Development (HSIC*)	Tian An China Investments Company Limited, an investment holding company, engages in the investment, development, and management of properties primarily in the People's Republic of China.
0029.HK	Dynamic Holdings Ltd.	Property investment and development.	Properties \& Construction - Properties - Property Investment (HSIC*)	Dynamic Holdings Limited, an investment holding company, engages in the investment and development of properties in Mainland China. The company operates through Property Rental and Property Sales segments.
